UTC Time,Latitude,Longitude,GForce,satCount
135118.000,51.466225,5.373108,0.54,18
135118.000,51.466225,5.373108,0.61,18
135118.000,51.466225,5.373108,0.64,18
135118.000,51.466225,5.373108,0.63,18
135118.000,51.466225,5.373108,0.59,18
135118.000,51.466225,5.373108,0.58,18
135118.000,51.466225,5.373108,0.58,18
135118.000,51.466225,5.373108,0.44,18
135119.000,51.466201,5.373278,0.31,18
135119.000,51.466201,5.373278,0.25,18
135119.000,51.466201,5.373278,0.03,18
135119.000,51.466201,5.373278,0.39,18
135119.000,51.466201,5.373278,0.27,18
135119.000,51.466201,5.373278,0.27,18
135119.000,51.466201,5.373278,0.25,18
135119.000,51.466201,5.373278,0.30,18
135119.000,51.466201,5.373278,0.27,18
135119.000,51.466201,5.373278,0.36,18
135120.000,51.466227,5.373470,0.46,18
135120.000,51.466227,5.373470,0.37,18
135120.000,51.466227,5.373470,0.36,18
135120.000,51.466227,5.373470,0.49,18
135120.000,51.466227,5.373470,0.35,18
135120.000,51.466227,5.373470,0.42,18
135120.000,51.466227,5.373470,0.37,18
135120.000,51.466227,5.373470,0.34,18
135120.000,51.466227,5.373470,0.30,18
135120.000,51.466227,5.373470,0.32,18
135121.000,51.466239,5.373630,0.33,18
135121.000,51.466239,5.373630,0.28,18
135121.000,51.466239,5.373630,0.30,18
135121.000,51.466239,5.373630,0.29,18
135121.000,51.466239,5.373630,0.31,18
135121.000,51.466239,5.373630,0.32,18
135121.000,51.466239,5.373630,0.32,18
135121.000,51.466239,5.373630,0.28,18
135121.000,51.466239,5.373630,0.34,18
135121.000,51.466239,5.373630,0.24,18
135122.000,51.466231,5.373775,0.28,18
135122.000,51.466231,5.373775,0.24,18
135122.000,51.466231,5.373775,0.32,18
135122.000,51.466231,5.373775,0.26,18
135122.000,51.466231,5.373775,0.31,18
135122.000,51.466231,5.373775,0.24,18
135122.000,51.466231,5.373775,0.29,18
135122.000,51.466231,5.373775,0.28,18
135122.000,51.466231,5.373775,0.23,18
135122.000,51.466231,5.373775,0.32,18
135123.000,51.466187,5.373886,0.31,18
135123.000,51.466187,5.373886,0.30,18
135123.000,51.466187,5.373886,0.27,18
135123.000,51.466187,5.373886,0.25,18
135123.000,51.466187,5.373886,0.21,18
135123.000,51.466187,5.373886,0.24,18
135123.000,51.466187,5.373886,0.27,18
135123.000,51.466187,5.373886,0.28,18
135123.000,51.466187,5.373886,0.26,18
135123.000,51.466187,5.373886,0.23,18
135124.000,51.466113,5.373953,0.37,18
135124.000,51.466113,5.373953,0.19,18
135124.000,51.466113,5.373953,0.34,18
135124.000,51.466113,5.373953,0.30,18
135124.000,51.466113,5.373953,0.30,18
135124.000,51.466113,5.373953,0.30,18
135124.000,51.466113,5.373953,0.35,18
135124.000,51.466113,5.373953,0.22,18
135124.000,51.466113,5.373953,0.30,18
135124.000,51.466113,5.373953,0.30,18
135125.000,51.466026,5.373968,0.30,17
135125.000,51.466026,5.373968,0.31,17
135125.000,51.466026,5.373968,0.33,17
135125.000,51.466026,5.373968,0.41,17
135125.000,51.466026,5.373968,0.38,17
135125.000,51.466026,5.373968,0.38,17
135125.000,51.466026,5.373968,0.34,17
135125.000,51.466026,5.373968,0.33,17
135125.000,51.466026,5.373968,0.30,17
135126.000,51.465940,5.373923,0.33,17
135126.000,51.465940,5.373923,0.41,17
135126.000,51.465940,5.373923,0.33,17
135126.000,51.465940,5.373923,0.38,17
135126.000,51.465940,5.373923,0.29,17
135126.000,51.465940,5.373923,0.13,17
135126.000,51.465940,5.373923,0.12,17
135126.000,51.465940,5.373923,0.19,17
135126.000,51.465940,5.373923,0.20,17
135126.000,51.465940,5.373923,0.22,17
135127.000,51.465860,5.373817,0.36,17
135127.000,51.465860,5.373817,0.38,17
135127.000,51.465860,5.373817,0.43,17
135127.000,51.465860,5.373817,0.37,17
135127.000,51.465860,5.373817,0.44,17
135127.000,51.465860,5.373817,0.48,17
135127.000,51.465860,5.373817,0.43,17
135127.000,51.465860,5.373817,0.47,17
135127.000,51.465860,5.373817,0.50,17
135127.000,51.465860,5.373817,0.50,17
135128.000,51.465782,5.373701,0.58,17
135128.000,51.465782,5.373701,0.56,17
135128.000,51.465782,5.373701,0.58,17
135128.000,51.465782,5.373701,0.45,17
135128.000,51.465782,5.373701,0.46,17
135128.000,51.465782,5.373701,0.50,17
135128.000,51.465782,5.373701,0.50,17
135128.000,51.465782,5.373701,0.54,17
135128.000,51.465782,5.373701,0.46,17
135128.000,51.465782,5.373701,0.48,17
135129.000,51.465695,5.373620,0.40,18
135129.000,51.465695,5.373620,0.42,18
135129.000,51.465695,5.373620,0.49,18
135129.000,51.465695,5.373620,0.56,18
135129.000,51.465695,5.373620,0.46,18
135129.000,51.465695,5.373620,0.51,18
135129.000,51.465695,5.373620,0.55,18
135129.000,51.465695,5.373620,0.55,18
135129.000,51.465695,5.373620,0.52,18
135129.000,51.465695,5.373620,0.57,18
135129.000,51.465695,5.373620,0.57,18
135130.000,51.465603,5.373638,0.55,19
135130.000,51.465603,5.373638,0.52,19
135130.000,51.465603,5.373638,0.59,19
135130.000,51.465603,5.373638,0.52,19
135130.000,51.465603,5.373638,0.50,19
135130.000,51.465603,5.373638,0.58,19
135130.000,51.465603,5.373638,0.58,19
135130.000,51.465603,5.373638,0.53,19
135130.000,51.465603,5.373638,0.54,19
135131.000,51.465519,5.373746,0.54,19
135131.000,51.465519,5.373746,0.57,19
135131.000,51.465519,5.373746,0.54,19
135131.000,51.465519,5.373746,0.55,19
135131.000,51.465519,5.373746,0.52,19
135131.000,51.465519,5.373746,0.47,19
135131.000,51.465519,5.373746,0.52,19
135131.000,51.465519,5.373746,0.49,19
135131.000,51.465519,5.373746,0.60,19
135131.000,51.465519,5.373746,0.49,19
135132.000,51.465472,5.373898,0.51,19
135132.000,51.465472,5.373898,0.57,19
135132.000,51.465472,5.373898,0.59,19
135132.000,51.465472,5.373898,0.58,19
135132.000,51.465472,5.373898,0.57,19
135132.000,51.465472,5.373898,0.56,19
135132.000,51.465472,5.373898,0.66,19
135132.000,51.465472,5.373898,0.62,19
135132.000,51.465472,5.373898,0.61,19
135132.000,51.465472,5.373898,0.68,19
135133.000,51.465464,5.374069,0.67,20
135133.000,51.465464,5.374069,0.62,20
135133.000,51.465464,5.374069,0.55,20
135133.000,51.465464,5.374069,0.65,20
135133.000,51.465464,5.374069,0.63,20
135133.000,51.465464,5.374069,0.66,20
135133.000,51.465464,5.374069,0.63,20
135133.000,51.465464,5.374069,0.63,20
135133.000,51.465464,5.374069,0.62,20
135133.000,51.465464,5.374069,0.47,20
135134.000,51.465503,5.374231,0.54,20
135134.000,51.465503,5.374231,0.45,20
135134.000,51.465503,5.374231,0.61,20
135134.000,51.465503,5.374231,0.62,20
135134.000,51.465503,5.374231,0.67,20
135134.000,51.465503,5.374231,0.64,20
135134.000,51.465503,5.374231,0.62,20
135134.000,51.465503,5.374231,0.59,20
135134.000,51.465503,5.374231,0.63,20
135134.000,51.465503,5.374231,0.67,20
135135.000,51.465583,5.374343,0.68,20
135135.000,51.465583,5.374343,0.66,20
135135.000,51.465583,5.374343,0.64,20
135135.000,51.465583,5.374343,0.57,20
135135.000,51.465583,5.374343,0.57,20
135135.000,51.465583,5.374343,0.52,20
135135.000,51.465583,5.374343,0.63,20
135135.000,51.465583,5.374343,0.51,20
135135.000,51.465583,5.374343,0.52,20
135135.000,51.465583,5.374343,0.46,20
135136.000,51.465685,5.374398,0.28,20
135136.000,51.465685,5.374398,0.11,20
135136.000,51.465685,5.374398,0.01,20
135136.000,51.465685,5.374398,0.13,20
135136.000,51.465685,5.374398,0.18,20
135136.000,51.465685,5.374398,0.24,20
135136.000,51.465685,5.374398,0.31,20
135136.000,51.465685,5.374398,0.29,20
135136.000,51.465685,5.374398,0.31,20
135136.000,51.465685,5.374398,0.38,20
135137.000,51.465810,5.374353,0.32,20
135137.000,51.465810,5.374353,0.33,20
135137.000,51.465810,5.374353,0.40,20
135137.000,51.465810,5.374353,0.37,20
135137.000,51.465810,5.374353,0.37,20
